temperature,humidity,pressure,wind_speed,rainfall,weather
24.4,58.5,1013.2,23.1,0.0,Sunny
38.8,56.0,999.6,17.2,0.0,Sunny
33.3,46.1,1003.7,33.8,0.0,Sunny
30.0,73.3,1011.6,9.2,0.0,Cloudy
18.9,65.0,1007.1,21.4,0.0,Sunny
18.9,89.5,1013.5,25.1,3.9,Cloudy
16.5,37.0,1019.0,29.2,0.0,Sunny
36.7,75.6,997.9,15.4,3.5,Cloudy
30.0,83.1,1012.7,24.7,0.0,Cloudy
32.7,82.8,1000.8,12.0,11.2,Rainy
15.5,90.8,1005.4,16.4,12.3,Rainy
39.2,80.9,995.8,31.6,19.9,Rainy
35.8,93.5,998.4,33.3,19.5,Rainy
20.3,56.0,1003.0,25.7,0.0,Sunny
19.5,66.7,1003.5,14.4,0.0,Sunny
19.6,35.9,1017.5,29.1,0.0,Sunny
22.6,35.4,1013.5,2.9,0.0,Sunny
28.1,50.1,1019.3,5.4,0.0,Sunny
25.8,41.4,1010.0,23.8,0.0,Sunny
22.3,51.4,1001.0,11.6,0.0,Sunny
30.3,46.2,1003.2,33.4,0.0,Sunny
18.5,36.8,1003.0,16.4,0.0,Sunny
22.3,92.3,1003.2,16.2,12.4,Rainy
24.2,35.5,1011.8,24.4,0.0,Sunny
26.4,81.4,1008.3,27.3,12.0,Rainy
34.6,44.6,1004.6,17.7,0.0,Sunny
20.0,92.5,998.7,9.1,16.9,Rainy
27.9,91.2,995.6,27.5,17.4,Rainy
29.8,76.2,1000.5,12.6,1.3,Cloudy
16.2,77.4,997.7,7.8,17.1,Rainy
30.2,35.3,1014.6,22.8,0.0,Sunny
19.3,97.0,997.8,5.0,10.9,Rainy
16.6,90.3,1013.1,34.1,16.1,Rainy
38.7,91.4,1004.6,22.9,13.7,Rainy
39.1,76.5,996.8,34.5,9.6,Rainy
35.2,56.7,1015.3,13.2,0.0,Sunny
22.6,91.3,1009.5,34.0,14.9,Rainy
17.4,53.4,1000.9,6.8,0.0,Sunny
32.1,70.5,1017.4,3.3,0.0,Cloudy
26.0,41.3,996.1,3.1,0.0,Sunny
18.1,93.1,1000.0,17.3,13.5,Rainy
27.4,43.9,1013.8,4.7,0.0,Sunny
15.9,49.2,1012.7,18.9,0.0,Sunny
37.7,70.2,1002.2,12.8,0.0,Cloudy
21.5,83.1,996.6,13.1,12.7,Rainy
31.6,74.0,1016.5,23.0,0.0,Cloudy
22.8,49.6,1002.8,7.4,0.0,Sunny
28.0,35.1,999.9,27.3,0.0,Sunny
28.7,82.7,1007.9,21.2,11.3,Rainy
19.6,97.1,1017.8,32.2,5.5,Cloudy
39.2,86.0,996.1,14.0,9.9,Rainy
34.4,64.0,1014.1,34.4,0.9,Sunny
38.5,91.9,1009.3,21.0,12.1,Rainy
37.4,60.8,1005.6,34.1,0.6,Sunny
29.9,68.1,1013.6,2.9,0.0,Sunny
38.0,65.1,1019.1,26.0,0.0,Sunny
17.2,63.2,1000.7,28.9,5.8,Cloudy
19.9,83.8,998.6,3.8,14.1,Rainy
16.1,68.2,1017.8,21.1,0.0,Sunny
23.1,55.0,1011.7,28.5,0.0,Sunny
24.7,51.3,1005.9,20.5,0.0,Sunny
21.8,37.4,1009.3,4.1,0.0,Sunny
35.7,71.7,1013.6,24.9,0.0,Cloudy
23.9,49.5,1014.3,4.0,0.0,Sunny
22.0,44.3,1018.0,29.0,0.0,Sunny
28.6,76.2,1005.7,3.4,2.7,Cloudy
18.5,77.9,1002.3,6.5,13.7,Rainy
35.1,82.4,1011.0,11.1,2.2,Cloudy
16.9,66.7,1005.4,22.9,0.6,Sunny
39.7,91.3,1009.9,34.2,4.1,Cloudy
34.3,94.0,1005.5,5.9,14.4,Rainy
20.0,85.9,998.8,6.7,10.0,Rainy
15.1,75.0,1006.7,14.2,4.1,Cloudy
35.4,54.1,1012.3,29.6,0.0,Sunny
32.7,96.9,1015.0,17.4,6.2,Cloudy
33.2,52.3,1007.3,12.6,0.0,Sunny
34.3,47.8,999.1,20.5,0.0,Sunny
16.9,62.9,1005.4,10.6,3.1,Cloudy
24.0,38.6,1014.7,15.2,0.0,Sunny
17.9,96.6,1005.3,13.0,16.6,Rainy
36.6,72.1,1012.4,28.5,5.4,Cloudy
30.6,70.1,1007.7,32.5,6.7,Cloudy
23.3,76.3,1001.0,27.1,12.0,Rainy
16.6,66.3,1014.9,16.5,0.0,Sunny
22.8,37.0,997.1,18.6,0.0,Sunny
23.1,73.6,1008.1,6.1,0.0,Cloudy
33.2,80.1,1000.2,26.6,8.9,Rainy
30.9,61.3,996.7,21.7,4.2,Cloudy
37.2,82.7,1007.6,31.8,11.7,Rainy
26.8,49.3,1007.5,8.6,0.0,Sunny
18.0,48.9,1012.7,27.1,0.0,Sunny
32.8,45.2,1013.6,24.6,0.0,Sunny
34.0,58.4,1013.2,10.8,0.0,Sunny
29.0,88.4,1005.2,24.0,12.8,Rainy
34.3,87.2,1010.8,32.5,15.6,Rainy
27.3,59.1,1009.4,32.3,0.0,Sunny
28.1,72.1,1005.5,25.7,4.4,Cloudy
25.7,80.4,1009.9,3.6,0.0,Cloudy
15.6,50.2,1018.7,30.8,0.0,Sunny
17.7,45.6,999.8,23.7,0.0,Sunny
15.8,96.2,1017.6,12.2,6.1,Cloudy
30.9,73.9,996.3,8.2,11.1,Rainy
22.9,96.8,1002.7,5.8,17.6,Rainy
27.7,56.3,1002.2,3.7,0.0,Sunny
37.7,79.3,1010.7,26.9,6.6,Cloudy
21.2,49.0,998.3,9.8,0.0,Sunny
25.3,51.5,1017.1,2.8,0.0,Sunny
33.9,67.2,1015.7,15.1,0.0,Sunny
20.7,55.1,1011.3,17.9,0.0,Sunny
16.9,45.6,1006.5,7.6,0.0,Sunny
22.2,51.6,1018.3,3.5,0.0,Sunny
19.0,37.3,1015.8,8.2,0.0,Sunny
38.2,79.4,1007.5,24.4,9.2,Rainy
35.2,66.0,1012.5,4.7,0.0,Sunny
30.8,40.9,1009.2,20.3,0.0,Sunny
36.8,45.8,1009.7,6.8,0.0,Sunny
35.1,41.5,1003.3,8.5,0.0,Sunny
19.7,73.6,1006.6,15.0,6.9,Cloudy
37.3,40.9,997.0,5.3,0.0,Sunny
28.5,82.5,1003.9,7.7,0.0,Cloudy
35.2,36.3,1012.4,13.5,0.0,Sunny
37.4,50.7,1018.8,12.9,0.0,Sunny
23.0,91.1,1019.1,26.7,0.0,Cloudy
17.8,80.3,1008.9,4.5,1.9,Cloudy
20.7,39.6,1010.2,30.4,0.0,Sunny
25.7,86.7,999.6,28.9,18.9,Rainy
35.5,66.1,1012.4,27.3,0.0,Sunny
36.5,88.3,996.8,12.2,12.4,Rainy
15.2,72.8,1002.1,29.2,11.2,Rainy
27.8,78.0,1011.7,8.0,2.2,Cloudy
25.4,97.6,1002.8,6.1,14.2,Rainy
20.6,49.6,996.2,3.5,0.0,Sunny
18.0,74.3,1015.8,33.0,0.0,Cloudy
23.4,64.0,1002.8,12.2,0.0,Sunny
38.6,37.5,996.6,32.3,0.0,Sunny
23.1,35.9,996.9,11.0,0.0,Sunny
28.0,42.5,1001.3,31.9,0.0,Sunny
32.6,75.9,999.5,31.8,10.6,Rainy
24.1,70.7,1014.4,32.5,3.1,Cloudy
39.3,69.9,1003.0,18.4,5.3,Cloudy
39.1,37.0,1015.1,30.6,0.0,Sunny
21.3,64.6,999.3,33.4,4.8,Cloudy
27.4,93.3,1007.3,12.7,6.2,Cloudy
22.5,60.0,1012.2,15.8,0.0,Sunny
22.1,74.4,1011.3,25.7,4.8,Cloudy
15.9,84.1,1010.0,11.9,8.0,Rainy
30.2,84.4,1018.1,26.9,0.0,Cloudy
27.6,67.7,1000.7,4.4,0.0,Sunny
16.3,89.1,1007.3,19.3,6.0,Cloudy
22.0,59.7,1017.1,6.0,0.0,Sunny
37.7,91.0,996.9,11.7,17.7,Rainy
21.0,50.1,996.4,10.5,4.8,Cloudy
18.6,52.7,1000.8,29.7,0.4,Sunny
27.2,38.3,1010.8,8.4,0.0,Sunny
39.6,85.1,1001.5,28.7,10.7,Rainy
21.1,61.3,999.8,28.2,4.4,Cloudy
31.8,49.4,1006.5,18.5,0.0,Sunny
34.0,49.6,1010.3,9.7,0.0,Sunny
20.9,91.8,1001.2,9.5,14.1,Rainy
33.2,87.5,1002.5,17.3,13.0,Rainy
24.2,69.9,1010.3,2.3,0.0,Sunny
30.8,73.8,1018.6,19.5,0.1,Cloudy
30.8,64.9,1011.9,33.4,0.0,Sunny
28.4,59.7,1014.6,7.1,0.0,Sunny
17.3,92.7,1004.2,20.9,7.4,Cloudy
35.9,42.9,1001.8,33.7,0.0,Sunny
23.0,61.4,1006.4,30.4,9.4,Rainy
19.7,56.7,1015.2,30.1,0.0,Sunny
16.0,66.4,1006.4,29.1,2.8,Cloudy
29.8,63.8,1016.2,12.2,0.0,Sunny
31.9,67.7,1019.7,31.4,0.0,Sunny
15.4,43.8,996.8,33.1,0.7,Sunny
27.8,67.3,996.1,18.4,5.4,Cloudy
20.7,50.3,998.7,13.7,0.0,Sunny
31.1,46.6,1004.6,15.7,0.0,Sunny
19.4,39.1,998.3,13.0,0.0,Sunny
32.3,83.0,1016.8,9.0,0.0,Cloudy
24.7,61.9,995.6,22.4,7.1,Cloudy
38.4,74.5,1002.9,20.6,4.0,Cloudy
18.4,80.8,999.6,17.3,10.7,Rainy
23.5,77.8,1018.3,5.2,0.0,Cloudy
17.8,64.6,1011.7,28.3,0.0,Sunny
38.1,59.4,1017.8,7.8,0.0,Sunny
36.9,58.7,1019.3,5.8,0.0,Sunny
21.4,75.3,1007.4,22.6,1.2,Cloudy
31.5,66.2,1000.9,15.2,4.1,Cloudy
35.4,88.5,999.8,4.0,12.1,Rainy
28.9,90.1,1000.6,13.7,18.6,Rainy
28.2,45.7,1012.7,27.5,0.0,Sunny
21.0,43.6,996.0,22.3,0.0,Sunny
17.3,74.7,996.3,14.0,13.1,Rainy
37.4,54.0,1010.2,8.3,0.0,Sunny
37.5,36.2,1011.1,22.8,0.0,Sunny
30.8,91.0,1011.6,31.3,12.1,Rainy
23.5,49.3,1004.3,23.3,0.0,Sunny
23.7,93.5,1015.1,28.8,4.3,Cloudy
33.1,80.2,1008.3,19.2,4.5,Cloudy
37.4,83.0,997.6,25.7,15.9,Rainy
37.2,47.7,1014.9,31.6,0.0,Sunny
34.5,49.8,1018.8,27.5,0.0,Sunny
31.1,67.8,996.5,32.0,14.7,Rainy
17.1,45.8,1004.8,16.2,0.0,Sunny
19.0,54.2,1007.2,31.8,1.7,Sunny
37.5,55.3,998.7,22.5,3.7,Cloudy
30.2,45.1,1016.7,30.7,0.0,Sunny
15.2,47.9,1002.1,3.3,0.0,Sunny
17.5,84.7,1014.6,23.7,0.0,Cloudy
31.6,45.5,1011.8,30.0,0.0,Sunny
15.1,36.8,1010.0,7.7,0.0,Sunny
19.0,74.6,999.8,23.8,10.5,Rainy
28.7,96.5,1000.5,29.2,16.4,Rainy
32.3,55.9,996.2,11.5,0.0,Sunny
31.3,42.5,1001.0,15.4,0.0,Sunny
20.6,70.9,1003.6,20.8,1.9,Cloudy
32.8,92.1,1015.8,19.1,6.6,Cloudy
20.9,84.4,1004.2,3.3,5.4,Cloudy
23.1,74.2,1013.9,5.3,0.8,Cloudy
33.7,54.8,1006.0,5.3,0.0,Sunny
